Word,Frequency
although,15
mobile,3
boarding,85
pass,9
checked,30
luggage,109
still,72
go,69
check,89
counter,21
departure,37
delayed,98
hour,287
food,116
flight,791
bad,46
lot,14
clunking,1
noise,1
galley,8
throughout,11
movie,7
available,31
organized,2
abc,1
difficult,17
search,2
ba,454
charge,14
pick,11
seat,279
thats,11
unfortunate,2
abysmal,2
experience,105
initially,3
cancelled,108
rebooked,27
onto,18
another,85
staff,144
totally,16
disorganised,3
original,13
gate,62
tried,38
ridiculous,4
group,13
procedure,6
even,113
though,34
didnt,58
make,52
announcement,11
led,2
telling,10
customer,207
wrong,17
place,8
queue,24
good,34
lady,16
remarked,1
im,16
mind,3
reader,1
impudent,1
terminal,47
complete,11
shamble,5
british,194
airway,187
ashamed,2
recently,4
flew,31
business,145
class,155
must,8
say,47
standard,14
product,21
outdated,10
uncomfortable,38
absolutely,30
worth,6
premium,43
price,30
marketed,1
club,38
world,16
felt,10
like,56
economy,76
higher,3
tag,9
narrow,9
almost,25
privacy,7
fully,2
recline,11
properly,8
cabin,73
looked,13
worn,4
service,300
inconsistent,1
overall,26
ripoff,1
ive,37
flown,33
true,2
airline,216
simply,21
doesnt,14
compare,2
stop,5
misleading,1
image,1
promise,8
dont,63
match,5
reality,3
feel,11
cheated,3
paid,52
expected,8
luxury,2
tired,9
fake,1
version,1
lost,44
bag,96
took,58
day,141
find,45
entire,12
time,201
incompetent,11
giving,8
consistently,1
incorrect,5
information,42
would,123
change,69
every,27
call,95
representative,13
rude,36
helpful,11
average,11
tight,6
terrible,58
respect,6
priority,5
crowded,2
bus,22
take,49
u,191
plane,105
without,43
mention,4
waiting,37
wait,46
inside,4
switched,2
air,41
conditioning,1
recent,11
nothing,39
short,19
infuriating,3
particularly,6
booking,38
travel,45
agency,5
immediate,1
response,25
tell,20
state,6
cant,38
access,11
modify,1
ticket,74
cycle,1
bounced,1
party,5
neither,3
taking,15
responsibility,6
whats,7
truly,7
baffling,1
flexible,2
charged,4
card,12
platform,2
add,17
insult,6
injury,6
purchased,5
separately,3
website,50
refused,27
help,68
refund,49
clear,8
quick,4
turn,11
away,26
unwilling,1
due,92
diligence,1
understand,15
situation,15
listen,2
feedback,5
multiple,12
speaking,8
various,3
unhelpful,6
finally,53
gave,28
resorted,1
filing,1
dispute,3
credit,7
company,27
speaks,1
volume,3
breakdown,1
support,14
longhaul,4
disappointing,24
poor,64
thing,26
declined,9
aircraft,46
amenity,6
kit,4
basic,11
comfort,7
youd,2
normally,1
expect,18
quality,16
subpar,6
minimal,7
one,170
proper,3
drink,30
round,11
journey,18
warm,3
juice,4
offered,53
afterwards,1
costcutting,1
measure,1
impacting,1
passenger,117
far,23
much,35
checkin,53
slow,14
member,28
checking,10
initial,8
period,6
passport,11
control,13
security,25
area,21
shown,3
back,111
others,14
went,29
seemed,11
uninterested,3
confusion,3
caused,20
said,84
aboard,3
wide,4
enough,31
legroom,13
limited,10
water,37
oat,1
bar,5
served,17
arrived,61
baggage,54
appeared,7
promptly,3
appalling,23
started,13
online,64
couldnt,40
repeated,2
error,6
airport,124
early,13
sort,10
mebrushing,1
could,116
saying,20
full,27
incredibly,7
unprofessional,2
lounge,38
overcrowded,3
poorly,3
equippedwooden,1
utensil,1
seating,18
shortly,3
struck,2
excruciating,1
abdominal,1
pain,3
fearing,1
medical,7
emergency,3
asked,45
offloaded,1
pas,18
left,54
sitting,22
agony,1
minute,81
eventually,17
leave,18
hospitalstaff,1
fine,12
however,38
distress,1
realise,3
taken,13
reference,7
wheelchair,8
porter,1
heading,4
direction,2
none,6
assisted,3
collapsed,1
midway,1
stretchered,1
medic,1
hospital,2
thankfully,5
received,45
treatment,5
returned,9
home,45
since,40
trying,42
retrieve,3
number,63
triedonline,1
via,44
serviceis,1
either,16
unreachable,1
voicemail,4
ring,3
idea,5
helping,8
completely,13
unacceptable,8
international,11
failed,7
stage,2
technical,8
inperson,1
handling,6
postflight,1
care,27
book,27
night,31
system,26
downgraded,5
worse,22
split,2
family,21
wife,23
autistic,1
son,9
sat,11
give,32
minus,3
star,5
employee,19
venice,3
made,53
mistake,7
got,77
gold,5
silver,6
line,56
see,23
sign,8
scolded,1
berated,1
know,27
read,6
let,25
apologized,2
happy,3
end,24
continued,2
discourteous,1
toward,2
people,62
worst,74
experienced,14
carry,5
trolley,5
everyone,19
forced,12
carryons,2
laptop,10
battery,1
etc,18
woman,6
explaining,4
nowhere,4
stuff,5
need,36
onboard,26
explain,3
withstand,1
